,avgSeatView,avgShowView,boxRate,boxSplitUnit,movieInfo,showCount,showCountRate,splitBoxRate,splitBoxSplitUnit,sumBoxDesc,sumSplitBoxDesc
0,2.0%,4,40.8%,8264200,长津湖之水门桥,64607,19.9%,41.9%,7822300,39.01亿,36.02亿
1,0.9%,2,16.6%,3367600,这个杀手不太冷静,65161,20.1%,16.5%,3080500,25.05亿,22.91亿
2,1.0%,2,10.9%,2212900,奇迹·笨小孩,49503,15.2%,10.7%,2004300,13.07亿,11.95亿
3,1.7%,2,9.4%,1901200,花束般的恋爱,29771,9.1%,8.9%,1671900,4930.6万,4342.6万
4,1.1%,2,7.8%,1580000,狙击手,32954,10.1%,7.7%,1444600,5.65亿,5.19亿
5,0.9%,2,2.7%,550600,尼罗河上的惨案,12035,3.7%,2.6%,494300,5991.5万,5394.9万
6,1.0%,2,2.4%,492299,熊出没·重返地球,11766,3.6%,2.4%,451300,9.29亿,8.52亿
7,0.8%,1,1.6%,324200,纽约的一个雨天,9769,3.0%,1.5%,289600,868.4万,777.3万
8,0.7%,1,1.0%,221700,我们的冬奥,7795,2.4%,1.0%,199800,5202.4万,4772.0万
9,0.9%,1,1.0%,213500,四海,5960,1.8%,1.0%,195200,5.37亿,4.85亿
10,0.5%,1,0.8%,177600,你是我的一束光,8324,2.5%,0.8%,165200,284.3万,265.2万
11,0.7%,1,0.7%,154400,好想去你的世界爱你,5939,1.8%,0.7%,139900,1.05亿,9549.8万
12,0.9%,1,0.6%,139500,大国粮仓,4419,1.3%,0.6%,125000,25.5万,24.1万
13,0.3%,1,0.3%,70800,我心飞扬,4715,1.4%,0.3%,65400,537.4万,501.7万
14,0.9%,1,0.3%,64000,喜羊羊与灰太狼之筐出未来,2169,0.6%,0.3%,58099,1.57亿,1.43亿
15,19.9%,23,0.2%,52100,邓小平小道,69,<0.1%,0.2%,47500,1386.1万,1382.5万
16,8.2%,9,0.2%,50199,跨过鸭绿江,163,<0.1%,0.2%,46900,1.03亿,1.01亿
17,0.4%,1,0.1%,39400,今年过年就结婚,2972,0.9%,0.1%,34900,4.8万,4.3万
18,3.3%,4,<0.1%,18300,浴血誓言,155,<0.1%,<0.1%,16700,9.5万,9.1万
19,31.6%,29,<0.1%,17300,我的父亲焦裕禄,13,<0.1%,<0.1%,17200,3292.6万,3274.7万
20,17.9%,15,<0.1%,15700,高铁作证,32,<0.1%,<0.1%,14700,165.7万,165.2万
21,0.3%,1,<0.1%,14500,密案1922,1497,0.4%,<0.1%,13200,265.5万,239.1万
22,0.3%,1,<0.1%,14300,十年一品温如言,1274,0.3%,<0.1%,13100,1.66亿,1.51亿
23,0.3%,1,<0.1%,12400,不要忘记我爱你,1011,0.3%,<0.1%,11399,5578.4万,5047.0万
24,1.2%,2,<0.1%,10500,汪汪队立大功大电影,313,<0.1%,<0.1%,9300,8190.7万,7252.0万
