,avgSeatView,avgShowView,boxRate,boxSplitUnit,movieInfo,showCount,showCountRate,splitBoxRate,splitBoxSplitUnit,sumBoxDesc,sumSplitBoxDesc
0,12.7%,27,26.5%,2610000,神秘海域,2558,0.7%,26.2%,2351600,263.1万,237.3万
1,0.6%,2,21.7%,2140400,长津湖之水门桥,50627,15.8%,22.4%,2009400,39.80亿,36.76亿
2,0.6%,1,7.8%,771300,可不可以你也刚好喜欢我,35859,11.1%,7.6%,686100,542.2万,481.6万
3,0.2%,1,7.4%,728600,这个杀手不太冷静,51246,16.0%,7.3%,661500,25.70亿,23.51亿
4,1.0%,2,6.7%,659700,花束般的恋爱,17440,5.4%,6.4%,578200,7449.6万,6561.4万
5,0.4%,1,6.5%,644500,奇迹·笨小孩,36006,11.2%,6.5%,584300,13.49亿,12.34亿
6,0.7%,1,5.6%,555800,熊出没·重返地球,18640,5.8%,5.6%,505500,9.45亿,8.67亿
7,0.2%,1,4.7%,468600,如果有一天我将会离开你,37426,11.6%,4.7%,427500,189.9万,174.2万
8,0.8%,1,2.7%,268600,我们的冬奥,8510,2.6%,2.7%,243900,5953.2万,5461.0万
9,0.2%,1,2.1%,215500,狙击手,21309,6.6%,2.2%,197700,5.90亿,5.41亿
10,0.3%,1,1.5%,157000,妖怪手表：永远的朋友,14931,4.6%,1.5%,140100,16.2万,14.4万
11,0.3%,1,1.0%,102000,尼罗河上的惨案,4749,1.4%,1.0%,92300,6696.4万,6027.1万
12,0.5%,1,0.5%,58500,喜羊羊与灰太狼之筐出未来,3047,0.9%,0.5%,52699,1.59亿,1.45亿
13,51.7%,40,0.5%,52400,印度女孩,35,<0.1%,0.5%,48200,5.2万,4.8万
14,0.7%,1,0.5%,50500,纽约的一个雨天,1726,0.5%,0.5%,45300,1200.8万,1075.3万
15,20.5%,20,0.3%,31800,白月光下,51,<0.1%,0.3%,28800,9.7万,8.8万
16,0.2%,1,0.2%,29200,四海,2988,0.9%,0.2%,26400,5.41亿,4.89亿
17,35.9%,30,0.2%,28900,邓小平小道,26,<0.1%,0.2%,26500,1428.5万,1424.4万
18,1.2%,2,0.2%,28700,汪汪队立大功大电影,662,0.2%,0.2%,25500,8234.0万,7290.7万
19,16.3%,16,0.2%,28000,“炼”爱,47,<0.1%,0.2%,25000,14.2万,13.3万
20,0.7%,1,0.2%,24800,柳浪闻莺,839,0.2%,0.2%,22400,329.0万,301.9万
21,0.2%,1,0.1%,17800,好想去你的世界爱你,1886,0.5%,0.1%,16299,1.07亿,9766.9万
22,0.0%,1,0.1%,13100,读心者之深海,4078,1.2%,0.1%,12100,25.9万,23.0万
23,0.1%,1,0.1%,10700,你是我的一束光,1544,0.4%,0.1%,10100,469.6万,443.6万
